DATE,IPG22;11A2N
1/1/1985,7;25.052
2/1/1985,7;0.672
3/1/1985,6;24.502
4/1/1985,5;74.714
5/1/1985,5;53.151
6/1/1985,5;80.904
7/1/1985,6;26.202
8/1/1985,6;32.485
9/1/1985,6;0.5846
10/1/1985,;563.154
11/1/1985,;580.005
12/1/1985,;687.145
1/1/1986,7;33.057
2/1/1986,6;79.869
3/1/1986,6;22.221
4/1/1986,5;70.329
5/1/1986,5;58.137
6/1/1986,5;99.005
7/1/1986,6;57.655
8/1/1986,6;44.816
9/1/1986,6;10.005
10/1/1986,;575.322
11/1/1986,;593.417
12/1/1986,;681.354
1/1/1987,7;38.152
2/1/1987,7;0.062
3/1/1987,6;5.61
4/1/1987,6;0.1586
5/1/1987,5;88.734
6/1/1987,6;38.918
7/1/1987,6;88.694
8/1/1987,7;0.0669
9/1/1987,6;41.151
10/1/1987,;603.789
11/1/1987,;624.643
12/1/1987,;705.777
1/1/1988,7;98.703
2/1/1988,7;61.622
3/1/1988,7;0.2928
4/1/1988,6;32.384
5/1/1988,6;14.065
6/1/1988,6;71.097
7/1/1988,7;29.816
8/1/1988,7;57.655
9/1/1988,6;75.152
10/1/1988,;632.832
11/1/1988,;651.078
12/1/1988,;738.631
1/1/1989,7;79.188
2/1/1989,7;66.822
3/1/1989,7;33.523
4/1/1989,6;51.081
5/1/1989,6;36.892
6/1/1989,6;84.722
7/1/1989,7;40.301
8/1/1989,7;50.448
9/1/1989,6;93.053
10/1/1989,;658.735
11/1/1989,;690.706
12/1/1989,;841.949
1/1/1990,8;43.598
2/1/1990,7;71.726
3/1/1990,7;31.964
4/1/1990,6;72.781
5/1/1990,6;58.218
6/1/1990,7;14.654
7/1/1990,7;6.614
8/1/1990,7;71.052
9/1/1990,7;3.061
10/1/1990,;674.365
11/1/1990,;685.665
12/1/1990,;776.839
1/1/1991,8;60.214
2/1/1991,7;75.573
3/1/1991,7;3.365
4/1/1991,6;7.15
5/1/1991,6;88.162
6/1/1991,7;48.448
7/1/1991,8;0.0928
8/1/1991,7;91.606
9/1/1991,7;35.743
10/1/1991,;687.538
11/1/1991,;725.166
12/1/1991,;794.894
1/1/1992,8;52.855
2/1/1992,8;0.1643
3/1/1992,7;45.275
4/1/1992,6;96.441
5/1/1992,6;71.784
6/1/1992,7;12.078
7/1/1992,7;75.081
8/1/1992,7;65.374
9/1/1992,7;23.541
